label_confidence,wpm,fillers_density,continuity,eye_contact,posture,voice_variation
poor,99.5708,0.0588,0.585081,0.538113,0.009793,0.004673
poor,96.9176,0.080513,0.446976,0.179391,0.57588,0.316669
poor,95.9905,0.123817,0.534152,0.178142,0.47375,0.056168
poor,108.1768,0.088502,0.416725,0.213814,0.644508,0.176821
poor,88.5751,0.079436,0.545816,0.423089,0.482547,0.264623
poor,127.1247,0.077808,0.357796,0.187245,0.523196,0.369346
poor,93.2908,0.064795,0.301593,0.480119,0.548651,0.281473
poor,85.0174,0.096965,0.471003,0.393738,0.574286,0.233539
poor,105.1837,0.092027,0.502041,0.476258,0.108569,0.152049
poor,87.9444,0.070834,0.400474,0.648988,0.226834,0.345242
poor,69.757,0.079953,0.479296,0.467244,0.542245,0.319002
poor,89.7691,0.076129,0.604436,0.311739,0.144863,0.030007
poor,81.2082,0.104915,0.475637,0.488097,0.314549,0.223781
poor,104.3839,0.08072,0.53222,0.217615,0.327389,0.142739
poor,77.0624,0.104609,0.365508,0.352499,0.496149,0.26698
poor,104.9808,0.087045,0.373806,0.334056,0.062533,0.0
poor,75.1595,0.060083,0.521959,0.168904,0.324367,0.394884
poor,89.656,0.112125,0.281949,0.308912,0.209996,0.149145
poor,107.6046,0.03818,0.528196,0.397547,0.28117,0.0
poor,96.0819,0.074115,0.491882,0.35437,0.720356,0.164097
poor,79.6475,0.095378,0.489599,0.621838,0.567022,0.253531
poor,116.9495,0.054337,0.334845,0.164685,0.322038,0.0
poor,104.5273,0.083333,0.185255,0.146884,0.462703,0.325719
poor,124.951,0.177416,0.524594,0.152092,0.0,0.240157
poor,82.8059,0.077539,0.339823,0.321842,0.613196,0.223557
poor,92.6205,0.05893,0.148557,0.252738,0.389243,0.465189
poor,96.9541,0.119482,0.360127,0.113011,0.206977,0.091216
poor,126.927,0.065358,0.600928,0.169415,0.586315,0.257743
poor,92.6504,0.088777,0.332138,0.439214,0.309003,0.016159
poor,75.8309,0.095178,0.734236,0.381998,0.376272,0.242874
poor,114.59,0.096581,0.376033,0.571258,0.485751,0.430363
poor,97.7485,0.053266,0.203731,0.680186,0.744733,0.173072
poor,89.2522,0.133843,0.250732,0.171055,0.528665,0.140809
poor,94.9232,0.085097,0.510763,0.631496,0.418117,0.296591
poor,64.2474,0.088538,0.298219,0.106237,0.22437,0.149881
poor,108.7385,0.050208,0.455514,0.253166,0.334465,0.350414
poor,103.0717,0.130122,0.422189,0.210811,0.355228,0.236375
poor,97.6486,0.057468,0.466288,0.395646,0.903495,0.481527
poor,82.2013,0.081378,0.18658,0.231859,0.463121,0.380878
poor,84.0637,0.070376,0.063488,0.317467,0.187517,0.120584
poor,81.8471,0.087172,0.133609,0.056591,0.825849,0.006887
poor,78.5482,0.145107,0.972912,0.115687,0.32635,0.251233
poor,120.9305,0.060394,0.40585,0.505468,0.486953,0.143577
poor,92.9927,0.048753,0.407129,0.296723,0.446434,0.116701
poor,102.0731,0.120381,0.477977,0.420351,0.410631,0.200013
poor,84.1766,0.099495,0.432488,0.768634,0.714671,0.257877
poor,83.5541,0.056628,0.664406,0.40255,0.496029,0.0
poor,108.9116,0.103633,0.250122,0.255695,0.452743,0.20787
poor,90.6174,0.086895,0.404644,0.380513,0.694298,0.0
poor,91.4472,0.095295,0.503279,0.275617,0.048656,0.249199
poor,120.9103,0.043984,0.605489,0.284295,0.387735,0.042065
poor,89.9832,0.129001,0.554878,0.696462,0.635482,0.265863
poor,121.159,0.10317,0.599038,0.290686,0.413309,0.095386
poor,109.8438,0.054651,0.590823,0.31187,0.634249,0.31263
poor,122.3097,0.111923,0.167033,0.336609,0.165599,0.122258
poor,117.6684,0.109126,0.324193,0.147257,0.406556,0.017516
poor,84.9329,0.09936,0.657956,0.471752,0.0,0.245655
poor,96.0805,0.102417,0.740918,0.0,0.281779,0.288636
poor,71.2761,0.134278,0.516304,0.519317,0.285811,0.322065
poor,111.0271,0.096986,0.492192,0.404069,0.227331,0.177871
poor,92.7122,0.101502,0.629968,0.138293,0.374998,0.422218
poor,83.8462,0.065332,0.486415,0.518877,0.402285,0.399344
poor,107.8519,0.115255,0.549741,0.815531,0.358968,0.0
poor,119.0638,0.076269,0.469418,0.61191,0.079548,0.012253
poor,70.9808,0.066176,0.529135,0.454838,0.455255,0.0
poor,60.3484,0.091631,0.36508,0.441877,0.540391,0.220736
poor,106.402,0.096876,0.545412,0.209065,0.364078,0.229516
poor,107.3079,0.078188,0.54381,0.296832,0.376492,0.324428
poor,65.1041,0.051106,0.183207,0.0,0.264347,0.312415
poor,90.7267,0.095934,0.646059,0.615537,0.386172,0.403038
poor,96.3819,0.064878,0.343008,0.053893,0.222373,0.146297
poor,107.0538,0.141623,0.201207,0.428565,0.191891,0.271205
poor,93.0337,0.035073,0.617093,0.229,0.29322,0.039537
poor,85.1858,0.102837,0.415936,0.415732,0.472384,0.398099
poor,89.8582,0.045694,0.6421,0.283702,0.622918,0.257507
poor,93.0329,0.100463,0.801182,0.765396,0.413876,0.224029
poor,111.1436,0.06463,0.509953,0.344827,0.462782,0.074995
poor,71.1565,0.02781,0.248871,0.258265,0.341362,0.490585
poor,111.5899,0.061137,0.512588,0.268584,0.343127,0.227799
poor,104.2876,0.079822,0.641493,0.121612,0.401268,0.589651
poor,98.3462,0.132996,0.466474,0.466155,0.388643,0.174439
poor,83.3078,0.102909,0.296723,0.483117,0.617057,0.25498
poor,90.7063,0.103619,0.394439,0.537109,0.033719,0.149659
poor,65.1378,0.045148,0.695495,0.529037,0.256104,0.0
poor,50.5321,0.073695,0.885675,0.436977,0.288086,0.269762
poor,71.5856,0.08108,0.467906,0.33278,0.558161,0.251697
