label,smile,brow_tension,jaw_open,eye_open
happy,0.923516,0.210231,0.38921,0.859105
happy,0.848909,0.257896,0.3045,0.557358
happy,0.79514,0.148804,0.449268,0.729576
happy,0.660565,0.226773,0.435102,0.724853
happy,0.656092,0.226233,0.39284,0.8154
happy,0.836644,0.109174,0.290267,0.7848
happy,0.546279,0.277723,0.249266,0.640951
happy,0.923201,0.193552,0.313775,0.739398
happy,0.738727,0.137409,0.379983,0.999156
happy,0.860356,0.243791,0.380874,0.81169
happy,0.824891,0.114326,0.410847,0.707313
happy,0.955903,0.178892,0.500211,0.538204
happy,0.78755,0.128856,0.244715,0.809945
happy,0.632023,0.186189,0.265762,0.755429
happy,0.783314,0.0,0.434155,0.614686
happy,0.990937,0.288424,0.464798,0.370643
happy,0.960446,0.206708,0.19396,0.746513
happy,0.905843,0.045769,0.478298,0.658814
happy,0.686275,0.161008,0.255664,0.730707
happy,0.782062,0.304078,0.516935,0.659048
happy,0.878865,0.088526,0.427141,0.552725
happy,0.686416,0.260925,0.265786,0.769454
happy,0.581696,0.1324,0.414188,0.906627
happy,0.616568,0.354607,0.382186,1.0
happy,0.715978,0.151902,0.389093,0.554405
happy,0.76584,0.194725,0.505504,0.747721
happy,0.604886,0.073508,0.239267,0.420687
happy,0.500432,0.406489,0.253714,0.876671
happy,0.664216,0.161259,0.151044,0.873953
happy,0.70505,0.363896,0.268797,0.87742
happy,0.925884,0.053887,0.404613,0.559845
happy,0.615094,0.212451,0.446325,0.886353
happy,0.710403,0.297847,0.416778,0.698938
happy,0.638673,0.204136,0.765603,0.571313
happy,0.729782,0.111868,0.512479,0.948934
happy,0.908309,0.395238,0.340461,0.931031
happy,0.651662,0.352981,0.52586,0.612679
happy,0.861163,0.092466,0.182431,0.505724
happy,0.617493,0.085784,0.33522,0.939976
happy,0.717878,0.114157,0.429133,0.663163
happy,0.758758,0.237503,0.399828,0.601809
happy,0.718225,0.290823,0.302735,0.663629
happy,0.784155,0.239932,0.309693,0.775569
happy,0.746782,0.067306,0.425192,0.575758
happy,1.0,0.227081,0.314196,0.816541
happy,0.923551,0.349724,0.384706,0.847862
happy,0.832954,0.207883,0.16737,0.701757
happy,0.440701,0.110441,0.512165,0.723669
happy,0.743675,0.111776,0.246307,0.602758
happy,0.581889,0.0,0.472359,0.929865
happy,0.672063,0.275489,0.200643,0.747232
happy,0.582175,0.289646,0.354726,0.519498
happy,0.814125,0.363653,0.348934,0.692206
happy,0.74952,0.211039,0.498211,0.878676
happy,0.49503,0.319321,0.323732,0.931256
happy,0.803433,0.294761,0.286396,0.510217
happy,0.776945,0.294919,0.436495,0.807449
happy,0.7752,0.270321,0.248878,0.677527
happy,0.560913,0.192832,0.310602,0.704988
happy,0.873177,0.204546,0.0,0.889667
happy,0.766239,0.275999,0.252676,0.813483
happy,0.932151,0.03622,0.495598,0.566317
happy,0.655281,0.198343,0.59867,0.443865
happy,0.670993,0.202356,0.42617,0.681505
happy,0.799468,0.0944,0.440794,0.845489
happy,0.615196,0.119182,0.395674,0.744362
happy,0.811694,0.075724,0.300691,0.628786
happy,0.911793,0.18901,0.287335,0.570276
happy,0.74833,0.318563,0.160758,0.714238
happy,0.809826,0.399025,0.4306,0.889004
happy,0.753709,0.058525,0.17626,0.596506
happy,0.764633,0.169537,0.291685,0.953309
happy,0.458388,0.092651,0.637738,0.741367
happy,0.666908,0.085137,0.445574,0.796515
happy,0.846226,0.067638,0.364387,0.666592
happy,0.801677,0.035273,0.420027,0.914611
happy,0.582171,0.286762,0.55102,0.823372
happy,0.742678,0.212019,0.28441,0.729831
happy,0.622723,0.20465,0.247024,0.493553
happy,0.931189,0.011819,0.566107,0.390562
happy,0.863104,0.218583,0.152998,0.627484
happy,0.625625,0.103123,0.456668,0.532675
happy,0.515654,0.31262,0.396967,0.699828
